排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
11,0,我的汤姆猫,杭州哲信信息技术有限公司,22144,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwNi8yMDE3MDYxOTE4Mzc1MTM1NzMyODcucG5n,单机榜,4412403,-,无
12,0,我的安吉拉,杭州哲信信息技术有限公司,57464,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwOC8yMDE3MDgwMzEyMDExODEwMzM2MDAucG5n,单机榜,4572167,-,无
13,0,地铁跑酷（世界环游）,深圳市梦域科技有限公司,35192,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8yNzM5NDhfMTU0Mjk2Mjc3Ni8yNTY=,单机榜,64138,深圳市创梦天地科技股份有限公司,https://www.qimai.cn/company/product/id/30699
14,0,腾讯欢乐麻将全集,腾讯游戏,18772,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDEyNTM2OF8xNTQzMzg2Nzc4LzI1Ng==,单机榜,105219,深圳市腾讯计算机系统有限公司,https://www.qimai.cn/company/product/id/11
15,0,神庙逃亡2（送红包）,深圳市创梦天地科技有限公司,22599,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMTQ0Mjk0XzE1NDQxNTY5NDgvMjU2,单机榜,64146,深圳市创梦天地科技有限公司,https://www.qimai.cn/company/product/id/4517
16,0,元气骑士（勇闯地牢）,深圳市尚愉科技有限公司,20502,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTIzLzIwMTgxMTIzMTI1ODM5Mzc3MzA5My5wbmc=,单机榜,3412132,-,无
17,0,欢乐斗地主(完整版),深圳市禅游科技股份有限公司,29462,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTBjOWY3ODBjZDVjNzM4Njc2OGVmMTY3NzdmNTAzMzI1JnJlZj1odHRwJTNBJTJGJTJGaC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZoLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRmNiZDNmZDFmNDEzNDk3MGEwZmY2MmY4NDlmY2FkMWM4YTY4NjVkOTcuanBn,单机榜,1179835,深圳市禅游科技股份有限公司,https://www.qimai.cn/company/product/id/31341
18,0,弓箭手大作战,北京猎豹网络科技有限公司,17224,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzEzLzIwMTgwNzEzMDA0MjQ4ODY3MDQyLnBuZw==,单机榜,3644886,-,无
19,0,逃跑吧！少年-星际主题上线,深圳市抱一网络科技有限公司,63690,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzAzLzIwMTgwNzAzMTgzNjQ5MzgzNDk4LmpwZw==,单机榜,6384339,-,无
20,0,出租车模拟3D,天津羽仁科技有限公司,54028,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDMwLzIwMTgxMDMwMTE0ODQwNzE2MjYzMy5qcGc=,单机榜,6733924,-,无
