排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
17,新进榜,Piano Dream,Tap Lab,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjYxMjIyNF8xNTQwNTQ2NTY3LzI1Ng==,游戏,5192890,-,无
18,-12,Plane Hit!,FootMan,-,https://android-artworks.25pp.com/fs08/2018/11/29/7/109_ed32b986dec85a9c9bf3ca74075967ea_con_130x130.png,游戏,5483116,-,无
19,406,Free Fire,111dots Studio,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU5Mzg0MV8xNTE2MDU3MTcwLzI1Ng==,游戏,5284652,-,无
20,新进榜,热狗的英雄,海沙工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2YuaGlwaG90b3MuYmRpbWcuY29tL3dpc2VnYW1lL3BpYy9pdGVtLzk4ZjJiMjExOTMxM2IwN2U1N2M4MDBiNzBlZDc5MTIzOTdkZDhjMWMuanBn,游戏,405200,-,无
21,新进榜,?Dunk!Dunk Ball,,-,https://android-artworks.25pp.com/fs08/2018/11/15/6/109_3dbec36be75a89ffcda9f14779da55ca_con_130x130.png,游戏,6584356,-,无
22,-17,Words Story - Addictive Word Game,,-,https://android-artworks.25pp.com/fs08/2018/12/05/3/109_46fa7d1e25b010e943b709cadb50df80_con_130x130.png,游戏,6677245,-,无
23,1,银河之战深空射手2,来自互联网,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3AzLnFoaW1nLmNvbS90MDFkNWFiZjNmZDY1ZWJjNmE3LndlYnA=,游戏,3361970,-,无
24,73,Race.io,,-,https://android-artworks.25pp.com/fs08/2018/12/06/6/109_c64779c911a0e2ea6de784fd348a1925_con_130x130.png,游戏,6103965,-,无
25,新进榜,Holy Hunter,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0hNX20zUEVIckpnWVoxRHI3clV3SG04cTBudE1yNUd5bFdFbU9vMTBrY2UxeWtrSWJpSHhlR0xEaVVSZUF2OE5jMlk9czE4MA==,游戏,6831308,-,无
26,156,射爆球球大作战,深圳杉夏科技有限公司,-,https://android-artworks.25pp.com/fs08/2018/10/20/11/109_376af9b55252e8215048d1d185c6e085_con_130x130.png,游戏,6603952,-,无
27,新进榜,Hot Hands!,Warner Bros. International Enterprises,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU4Nzg4OF8xNTEyNjIzNzQ3LzI1Ng==,游戏,3188321,-,无
28,254,POP! Slots – 老虎机免费赌场,PlayStudios,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL3BEeHlJQlZxeXVBLXFicGtsWC05c3ZtTlVWZUVwRmdkYUNOWThUT0NUeFBKbmlraXhVelRmOENWc0cxdVo0ZFJsUEI3PXMxODA=,游戏,2184578,-,无
29,新进榜,Crash Reward - Win Prizes,,-,https://android-artworks.25pp.com/fs08/2018/08/09/0/109_e17ec4b8d0de55a0cb9738a49b32f644_con_130x130.png,游戏,6285245,-,无
30,-29,Command & Conquer: Rivals,,-,,游戏,6541457,-,无
31,新进榜,The Big Capitalist 3,,-,https://android-artworks.25pp.com/fs08/2018/08/18/8/109_e8a9a623269258ffcba11f200d0839e1_con_130x130.png,游戏,6408010,-,无
32,80,Operate Now: Hospital,互联网,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU1Mzg4OF8xNTEyNjI1MTQxLzI1Ng==,游戏,3064967,-,无
33,460,New Year Farm,互联网,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU1ODk2OF8xNTA3OTEzMTIzLzI1Ng==,游戏,2592277,-,无
34,81,Joyride: play live trivia shows with friends,海沙工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2FuZHJvaWQtYXJ0d29ya3MuMjVwcC5jb20vZnMwOC8yMDE4LzA1LzIxLzIvMTA5XzcyNjAxMDQxOTQ5NDI0MjYwNjMzNjhmZGY2YmQ1ODZiX2Nvbl8xMzB4MTMwLnBuZw==,游戏,5991146,-,无
35,新进榜,新YAHTZEE? With Buddies,Scopely,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU5NDMxOF8xNTE0NTE4NDkxLzI1Ng==,游戏,5022043,-,无
36,10,Christmas Solitaire: Santa&#39;s Winter Wonderland,,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2FuZHJvaWQtYXJ0d29ya3MuMjVwcC5jb20vZnMwOC8yMDE4LzAzLzI4LzEvMTA5Xzc0OTA2ZGY1MmIyZjc4YzdkMTc0YWU3OTI5NzRiZDBmX2Nvbl8xMzB4MTMwLnBuZw==,游戏,5345371,-,无
37,新进榜,Hit 7 Casino : Vegas Slots,,-,https://android-artworks.25pp.com/fs08/2018/11/04/7/109_758574b60cf5f87d4f02a1db198df86c_con_130x130.png,游戏,6717789,-,无
38,新进榜,InstLife,,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2FuZHJvaWQtYXJ0d29ya3MuMjVwcC5jb20vZnMwOC8yMDE4LzA1LzMwLzcvMTA5XzcwNzMzN2YxOGRlNWUyZGE1NDQyMmRkNGY4NmE0MDc2X2Nvbl8xMzB4MTMwLnBuZw==,游戏,4877676,-,无
39,487,Wynn Slots,"Wynn Social Gaming, LLC",-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2FuZHJvaWQtYXJ0d29ya3MuMjVwcC5jb20vZnMwOC8yMDE4LzA3LzA1LzQvMTA5Xzk1NzY2N2FhNDkyZGU3YzE5YjE4YzlmOTBjZjliZTFkX2Nvbl8xMzB4MTMwLnBuZw==,游戏,5446485,-,无
40,新进榜,"Hunter's Trail",,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL25CWnppcm9oUUpMbk1GdEU2dFQ2blI2emtROFIxdmZsZ2MzUHRONFBQNG1RTTJ0UnVrVUVvTGlWclFxdzNRQ1h2Wk09czE4MA==,游戏,6833617,-,无
41,465,Woody Puzzle,海沙工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2FuZHJvaWQtYXJ0d29ya3MuMjVwcC5jb20vZnMwOC8yMDE4LzA1LzIxLzUvMTA5XzU1MTViNGNhZWY4NTM1ZWExNzhlODY2YmQyN2Q1NzNlX2Nvbl8xMzB4MTMwLnBuZw==,游戏,4241477,-,无
42,-31,Find The Differences - Halloween Case,,-,https://android-artworks.25pp.com/fs08/2018/11/21/8/109_a0e13388e8268c7fa7f1fe99da4572a9_con_130x130.png,游戏,6674215,-,无
43,新进榜,星球大战：银河英雄,EA,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMjE2NTQ2OF8xNTA2MjU1MjMyLzI1Ng==,游戏,66025,-,无
44,92,Pixel Art - Number Coloring games,,-,https://android-artworks.25pp.com/fs08/2018/11/23/9/109_a92a109259e49ac54c98d3df6854a630_con_130x130.png,游戏,6564371,-,无
45,-27,城市战士与街头帮派,海沙工作室,-,https://android-artworks.25pp.com/fs08/2018/12/04/0/109_8cf38f3d186b4347b526ffb1f1387b1d_con_130x130.png,游戏,6140111,-,无
46,54,Trivia Crack,Etermax,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDI3NTk0NV8xNDc5ODMyNjMyLzI1Ng==,游戏,496260,-,无
47,新进榜,神奇的珠宝工坊,,-,https://android-artworks.25pp.com/fs08/2018/11/25/0/109_e4d3603c93e466413e23ec8aa0228e76_con_130x130.png,游戏,6702109,-,无
48,新进榜,Air Shooter 3D,Tap - Free Games,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU1NzE0Nl8xNTA3ODkzMDI4LzI1Ng==,游戏,2368818,-,无
49,31,悠来荡去,"Geisha Tokyo, Inc.",-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3AzLnFoaW1nLmNvbS90MDFjZWMyMmMwYzM1NzRjMDY4LndlYnA=,游戏,6717238,-,无
50,新进榜,Line Physics: Draw Lines to Solve Puzzles,,-,https://android-artworks.25pp.com/fs08/2018/08/22/4/109_0d0e4771e5947bd3e9e83295ac02edde_con_130x130.png,游戏,6410001,-,无
51,新进榜,天天过马路,来自互联网,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3AzLnFoaW1nLmNvbS90MDFmZWNiZDkwZTVlNzZiZmIzLndlYnA=,游戏,337738,-,无
52,新进榜,Crashy Cops!,,-,,游戏,6746480,-,无
53,新进榜,空当接龙 － 纸牌接龙游戏,"Lemon Game, Inc",-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl80MjM1MDE3OF8xNDczNzkxOTk5LzI1Ng==,游戏,1935674,-,无
54,新进榜,僵尸vs人类,,-,,游戏,6700900,-,无
55,-52,重力躲避球,,-,https://android-artworks.25pp.com/fs08/2018/10/31/5/109_940f1bf723385d64ed5b124f6b9cfe44_con_130x130.png,游戏,6642107,-,无
