排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接,最后更新
64,0,荒岛求生,苏州大禹网络科技有限公司,18918,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwNi8yMDE3MDYyMzExNTExMjI0NzcyMi5wbmc=,单机榜,4603184,苏州大禹网络科技有限公司,https://www.qimai.cn/company/product/id/42047,2018-12-06
65,0,魔法小芭比爱字母,君君工作室,5997,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPWRjM2FkNmIzNGUzODZlNTMyMzk5M2RjY2I2OWE1MzcxJnJlZj1odHRwJTNBJTJGJTJGZC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZkLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRGZhZjE1N2QwNTc2MDM0YTgyOWI3YjA4NGZhMjE2NTYxJTJGNWFiNWM5ZWExNWNlMzZkM2I2ZWQ1ZGUxMzFmMzNhODdlODUwYjE3Mi5qcGc=,单机榜,5112549,-,无,2018-12-06
66,0,海滨消消乐-免费风车币,乐元素科技（北京）股份有限公司,7464,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81Mjc4MjAxNV8xNTQzNDI4NzUwLzI1Ng==,单机榜,2662389,乐元素科技（北京）有限公司,https://www.qimai.cn/company/product/id/31188,2018-12-06
67,0,泡泡精灵传奇-泡泡龙,深圳云步互娱网络科技有限公司,17304,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTIzLzIwMTgxMTIzMTkxMTUxNTM1MDU5NS5wbmc=,单机榜,3314655,-,无,2018-12-06
68,0,球球大战,南京游罡网络科技有限公司,26676,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTAzLzIwMTgwOTAzMTAxNjEwNjcwMjAzNi5qcGc=,单机榜,6582701,-,无,2018-12-06
69,0,疾速城市赛车,艺馨达科技,16759,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTQ1ZDA1YTQ1MDExNWE0MzJmMTg0M2Q1OWYwYjE5NWQwJnJlZj1odHRwJTNBJTJGJTJGZi5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZmLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRjhhMjRiODk5YTkwMTRjMDhlM2M2MzhhZTAwN2IwMjA4N2JmNGY0MzguanBn,单机榜,1944139,-,无,2018-12-06
70,0,火柴人联盟2,深圳市中顺和盈科技有限公司,16728,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDI1LzIwMTgxMDI1MTA1NDEzMTMyNjUzNC5qcGc=,单机榜,5055414,-,无,2018-12-06
71,0,我的汉克狗,杭州哲信信息技术有限公司,12532,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwNi8yMDE3MDYxOTE4MzQxMDY1MzkxODAucG5n,单机榜,4481858,-,无,2018-12-06
72,0,变形装甲-铠甲骑士战场,南京昕月亿科技有限公司,84924,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTA5LzIwMTgxMTA5MTEzMDMyMzI1NTM3Mi5qcGc=,单机榜,6776338,-,无,2018-12-06
73,0,王牌机战（送话费）,上海蜂果网络科技有限公司,27327,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMzA4LzIwMTgwMzA4MTYwOTEzNzA1ODAzMy5wbmc=,单机榜,5163381,-,无,2018-12-06
74,0,怪兽消消消,北京柠檬微趣科技股份有限公司,8415,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjQ3NzkzOF8xNTQzMzc1MTIwLzI1Ng==,单机榜,4194932,-,无,2018-12-06
75,0,途游斗地主（赢红包）,在线途游(北京)科技有限公司,9407,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTI2LzIwMTgwOTI2MTUxNTQ2Nzk3MjUzOC5wbmc=,单机榜,1965689,-,无,2018-12-06
76,1,叶罗丽精灵梦,成都雷兽互动科技有限公司,4922,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDE5LzIwMTgxMDE5MDk0MDIyNjQ1ODAxMS5qcGc=,单机榜,4597053,-,无,2018-12-06
77,1,梦幻家园（云养猫）,深圳市创梦天地科技有限公司,13692,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTI2LzIwMTgxMTI2MTYyMzU3NTkxNzAyMi5wbmc=,单机榜,6501387,-,无,2018-12-06
78,1,欢乐赛车大战,深圳市创梦天地科技有限公司,3303,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMzEyLzIwMTgwMzEyMTUxODQ5ODI0OTMwNy5wbmc=,单机榜,5905609,-,无,2018-12-06
79,1,恐龙捕猎,南京齐聚元翔科技有限公司,48960,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDI2LzIwMTgxMDI2MTAyMDM1NTE5NjAzMC5qcGc=,单机榜,6739489,-,无,2018-12-06
80,1,二战狙击,嘉丰永道（北京）科技股份有限公司,17073,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNTE2LzIwMTgwNTE2MTgwNDAwMjU2ODU5My5qcGc=,单机榜,1972964,-,无,2018-12-06
81,1,消灭星星3最新版,嘉丰永道（北京）科技有限公司,7328,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMTE3MzY4OF8xNTQxMTQ5MzA1LzI1Ng==,单机榜,64194,嘉丰永道（北京）科技股份有限公司,https://www.qimai.cn/company/product/id/30722,2018-12-06
82,1,黑洞大吞噬(求生大作战),深圳市乐云无线科技有限公司,13050,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwODIzLzIwMTgwODIzMjIxNDM2MjQyODAwOC5wbmc=,单机榜,6528792,-,无,2018-12-06
83,1,熊出没之熊大快跑（送话费）,合肥乐堂动漫信息技术有限公司,0,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDQyMjQxNl8xNTA2NTgzOTY2LzI1Ng==,单机榜,107879,合肥乐堂动漫信息技术有限公司,https://www.qimai.cn/company/product/id/30695,2018-12-06
84,1,模拟卡车大师-货车越野,深圳明雅数娱网络科技有限公司,17516,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDMwLzIwMTgxMDMwMTk0MzI1NjE5MzM5OS5wbmc=,单机榜,6739410,-,无,2018-12-06
85,1,变形金刚：地球之战,北京游道易网络文化有限公司,12976,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTE0LzIwMTgwOTE0MTAzMTMxNDM4NjgxMC5wbmc=,单机榜,3684998,-,无,2018-12-06
86,1,僵尸尖叫,掌游天下（北京）信息技术股份有限公司,3127,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMTMxLzIwMTgwMTMxMjAxNTEwMjQ4MzMyNi5wbmc=,单机榜,1946894,-,无,2018-12-06
87,1,驾驶飞机模拟,科德电子科技,5579,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTRlZmVhZDg4ZmM0MjRkZTNmNTRjYTgwNDMwYTQ5MWQ4JnJlZj1odHRwJTNBJTJGJTJGZS5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZlLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRjU3YTg1ZWRmOGRiMWNiMTNjNWU1YWUxZmQ3NTQ1NjRlOTI1ODRiMmEuanBn,单机榜,2212732,-,无,2018-12-06
88,1,开心跳一跳,武汉指娱互动信息技术有限公司,6433,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTE3LzIwMTgwOTE3MTYyODU2MTQ4MTkzOS5wbmc=,单机榜,5856161,-,无,2018-12-06
89,1,五子棋,武汉市多比特信息科技有限公司,7797,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwMy8yMDE3MDMyOTIwNDA0NDk2NzgxNzMucG5n,单机榜,3473310,-,无,2018-12-06
90,1,纪念碑谷 完整版,深圳市创梦天地科技有限公司,4242,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMTM4MzU4OV8xNTE3NDAwMTAxLzI1Ng==,单机榜,153984,深圳市创梦天地科技股份有限公司,https://www.qimai.cn/company/product/id/30699,2018-12-06
91,1,虐心直升机-绝地飞机求生,北京华澳擎海国际科技有限公司,11964,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMzI2LzIwMTgwMzI2MTczNTM2NDM0NTg1NC5wbmc=,单机榜,5970485,-,无,2018-12-06
92,1,疾风飞车世界（送兰博基尼）,深圳市创梦天地科技有限公司,6262,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNTIzLzIwMTgwNTIzMTUyNDMxMjE4MDIwOS5qcGc=,单机榜,2594700,深圳市创梦天地科技股份有限公司,https://www.qimai.cn/company/product/id/30699,2018-12-06
93,1,叶罗丽美颜公主,成都嘉游信息技术有限公司,37864,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDMwLzIwMTgxMDMwMTgwMDUyMzY2NjY1NS5wbmc=,单机榜,6773373,-,无,2018-12-06
94,1,汤姆猫快跑,杭州哲信信息技术有限公司,30396,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwODIxLzIwMTgwODIxMTE1MTUwNzg1ODU4NC5qcGc=,单机榜,6542145,-,无,2018-12-06
95,1,会说话的汤姆猫,杭州哲信信息技术有限公司,29046,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci90bXBpY29uLzIwMTgwNDEwLzIwMTgwNDEwMTExMDU4NzA3Nzc3Mi5qcGc=,单机榜,6407406,-,无,2018-12-06
96,1,灰姑娘的伙伴,拓维信息系统股份有限公司,8699,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTAzMzY3NzdmOGY1YzZlNmU2ZTVlY2Q4ZDgyYjk1MGEzJnJlZj1odHRwJTNBJTJGJTJGYS5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZhLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRDY4ZDMxYWFiNTllNzM2ZDE1ODQ2ODQwZGFhNjI2M2Y3JTJGNDcyMzA5Zjc5MDUyOTgyMmEyZDM2ZGI0ZGFjYTdiY2IwYjQ2ZDRlMS5qcGc=,单机榜,1946929,-,无,2018-12-06
97,1,台球帝国,杭州铭先互联科技有限公司,8451,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNDI4LzIwMTgwNDI4MTQ0OTM4NDE4MTk1Ni5qcGc=,单机榜,1960200,-,无,2018-12-06
98,1,NBA LIVE-征战新赛季,天津英雄互娱科技有限公司,12288,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDE1LzIwMTgxMDE1MTgwNTU0NTg3NDk0OC5wbmc=,单机榜,3185205,-,无,2018-12-06
99,1,小龙学发型制作,西安立靶软件,3756,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTE4NDlmMjA3YjM1Mjg3NzdmZTc3ZWMyYmQ0NDQxMzMyJnJlZj1odHRwJTNBJTJGJTJGZC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZkLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRDNiODBkZWZhN2UwZTBjZjNhMGEyNDZmZTNiNzRkZTJhJTJGMGI1NWIzMTllYmM0Yjc0NWU4N2JjNGZlYzNmYzFlMTc4YjgyMTU2ZS5qcGc=,单机榜,5595667,-,无,2018-12-06
100,1,驾驶模拟卡车,科德电子科技,11418,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPWU4ZGQ0NzIzZTBmMTI5NTI1ZTc2MDE0NTNkZWZiNzJjJnJlZj1odHRwJTNBJTJGJTJGZi5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZmLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRjU3OWIwMzNiNWJiNWM5ZWEwOGI1ZjhlY2RmMzliNjAwM2FmM2IzN2YuanBn,单机榜,3420424,北京分享时代科技股份有限公司,https://www.qimai.cn/company/product/id/9799,2018-12-06
101,1,一起来飞车-极速氮气赛,天津英雄互娱科技有限公司,3697,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTE0LzIwMTgwOTE0MTkzNzM0OTYxNjAwMy5wbmc=,单机榜,2289268,-,无,2018-12-06
102,1,奥特曼英雄传说（明日后送勇士）,上海迈趴纳网络技术有限公司,12510,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTI3LzIwMTgxMTI3MTEzNTE4NTc1Nzk5Mi5wbmc=,单机榜,6384194,-,无,2018-12-06
103,1,保卫萝卜1,北京凯罗天下科技有限公司,5083,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMTY4NjI5XzE1MjA0MTQ5NzcvMjU2,单机榜,64175,北京凯罗天下科技有限公司,https://www.qimai.cn/company/product/id/30706,2018-12-06
104,1,城市飞车,深圳市海富荣网络科技有限公司,9958,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMTUyNTk4MV8xNTQwNTQzMDYyLzI1Ng==,单机榜,64210,-,无,2018-12-06
105,1,Beep飞机模拟2009,必普 科技,4427,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTk0YWEzNWUwN2E2OTI5N2QyNmY3MjI5MDhlZjM5ZjI0JnJlZj1odHRwJTNBJTJGJTJGYS5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZhLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRjU1N2FkYWI0NGFlZDJlNzNiYjExYzcyNzhkMDFhMThiODZkNmZhYzUuanBn,单机榜,2662241,广州四三九九信息科技有限公司,https://www.qimai.cn/company/product/id/30705,2018-12-06
106,1,皇冠街机捕鱼,河北宾奇软件开发有限公司,10008,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNjE1LzIwMTgwNjE1MTE1NjIwOTU1NjE3MS5wbmc=,单机榜,6316214,-,无,2018-12-06
107,1,彩狗捕鱼（捕鱼赢红包）,义乌帕金文化传播有限公司,11940,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzAzLzIwMTgwNzAzMTYyNTAwNTM2Mjg0Ni5wbmc=,单机榜,5144370,-,无,2018-12-06
108,1,四川麻将（血战到底）,深圳市禅游科技股份有限公司,3916,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzAzLzIwMTgwNzAzMTQ1MjIyMzE5ODgzOS5wbmc=,单机榜,1961802,-,无,2018-12-06
109,1,方块合合乐（俄罗斯消除）,武汉汇多互动信息技术有限公司,26685,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwOS8yMDE3MDkwNDIwMDUwNDgzODY0MDAuanBn,单机榜,4839427,-,无,2018-12-06
110,1,雷霆空袭-迷你飞机世界,北京易网科技有限公司,16580,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzMxLzIwMTgwNzMxMTgxODI1ODgxODgzNy5qcGc=,单机榜,6508501,-,无,2018-12-06
111,1,饭局狼人杀,天津爱米未科技有限公司,6192,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjQ1ODU1MF8xNTQyMzU0NDAyLzI1Ng==,单机榜,3453915,-,无,2018-12-06
112,1,球球跑酷,深圳市乐游戏科技有限公司,13952,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDI0LzIwMTgxMDI0MTUzNzA5NjIzMTI1My5qcGc=,单机榜,6750835,-,无,2018-12-06
113,1,欢乐千炮捕鱼(赢话费）,深圳市隆达网络科技有限公司,508,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDA4LzIwMTgxMDA4MTUyMDA2ODk1NjU5LmpwZw==,单机榜,6475179,-,无,2018-12-06
114,1,Monimoni驾驶模拟,,13215,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPThjOTZiYTYxYmU3M2Y1Y2E3ZTRiYWJjNjc5NTE0NWZjJnJlZj1odHRwJTNBJTJGJTJGZi5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZmLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRmQwMTllYmM0Yjc0NTQzYTk0NzI3MDJjMzE0MTc4YTgyYjkwMTE0ODUuanBn,单机榜,2615148,在线途游（北京）科技有限公司,https://www.qimai.cn/company/product/id/30700,2018-12-06
115,1,火线冲突,咪咕互动娱乐有限公司,5261,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzA5LzIwMTgwNzA5MTcyOTI2Njg0NjMxMy5wbmc=,单机榜,1972818,-,无,2018-12-06
116,1,街机达人捕鱼(赢手机),上海飘然网络科技有限公司,4856,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwOS8yMDE3MDkwNjEzMDUzNDc5Nzc1MzcucG5n,单机榜,1972836,-,无,2018-12-06
117,1,数字华容道,武汉市多比特信息科技有限公司,6576,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMzEzLzIwMTgwMzEzMTY1MzM0NjE4NDAzNy5wbmc=,单机榜,5921671,-,无,2018-12-06
118,1,欢乐麻将（升级版）,北京联众互动网络股份有限公司,7524,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNTIxLzIwMTgwNTIxMTQwNDA0MzM2OTk4OS5qcGc=,单机榜,1961801,-,无,2018-12-06
119,1,众多回忆的食堂故事,北京识君互娱网络有限公司,3984,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwODIzLzIwMTgwODIzMTgyMjAxNjM2NDg0Ny5qcGc=,单机榜,6581672,-,无,2018-12-06
120,1,考试大作战,广州悦人网络科技有限公司,12080,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTA3LzIwMTgwOTA3MTUyODQyMTY4Njc5LnBuZw==,单机榜,6747567,-,无,2018-12-06
121,1,一跳跳可爱指甲,深圳市乐云无线科技有限公司,8532,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTAxZjlkZmYxM2FlMmI5NDBiNmFlNGI3Y2U3ZGExZGQ5JnJlZj1odHRwJTNBJTJGJTJGaC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZoLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRGI0MWM4YjUzNzVmMGY3MzZkOGFiNDQwNDNiNjc5ZjJjJTJGYTcxZWE4ZDNmZDFmNDEzNDg4NzJiODUyMjgxZjk1Y2FkMWM4NWU1MC5qcGc=,单机榜,6187617,-,无,2018-12-06
122,1,保卫萝卜3,北京凯罗天下科技有限公司,4504,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMjE1NjE0Ml8xNTM3OTQ3MjU5LzI1Ng==,单机榜,102869,-,无,2018-12-06
123,1,速度与激情8,咪咕互动娱乐有限公司,10941,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNDEzLzIwMTgwNDEzMjAwOTEzMTE0NDQwOC5qcGc=,单机榜,3395429,-,无,2018-12-06
124,1,闪电战机-模拟飞机战场,北京光耀大地科技有限公司,6140,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTA1LzIwMTgxMTA1MTE1MzQ4MjIyMTc4OC5qcGc=,单机榜,6760826,-,无,2018-12-06
